mdev,['0.181 ']
min,['4.386']
ip,['172.217.3.174']
time,"[datetime.datetime(2019, 2, 26, 17, 1, 26, 650152)]"
site,['Google.com']
packet loss,['0']
max,['4.723']
avg,['4.554']
bytes_of_data,['56']
